Year,Month,DNI,GHI
2019,7,127.95833333333333,89.91666666666667
2019,6,93.12083333333334,73.56527777777778
2019,5,95.02284946236558,88.63306451612904
2019,4,147.0861111111111,136.00416666666666
2019,3,197.0483870967742,192.26612903225808
2019,2,289.91517857142856,264.1220238095238
2019,1,355.2943548387097,313.3360215053763
2018,12,245.1008064516129,263.380376344086
2018,11,193.9361111111111,234.69027777777777
2018,10,233.24764468371467,227.34320323014805
2018,9,177.78333333333333,170.87083333333334
2018,8,99.0,95.0497311827957
2018,7,100.0739247311828,85.81720430107526
2018,6,83.8013888888889,73.42916666666666
2018,5,72.54569892473118,79.74193548387096
2018,4,151.29166666666666,135.2888888888889
2018,3,230.55913978494624,206.5241935483871
2018,2,288.6592261904762,260.89136904761904
2018,1,298.0725806451613,284.7943548387097
2017,12,258.1290322580645,268.883064516129
2017,11,268.70972222222224,272.4916666666667
2017,10,215.2005383580081,219.78061911170929
2017,9,120.13194444444444,146.61944444444444
2017,8,118.47043010752688,113.45161290322581
2017,7,90.08843537414965,81.77414965986395
2017,6,81.49166666666666,74.26388888888889
2017,5,100.71908602150538,92.30376344086021
2017,4,130.95833333333334,130.04166666666666
2017,3,245.81451612903226,208.95698924731184
2017,2,273.4375,252.30505952380952
2017,1,299.3266129032258,280.2069892473118
2016,12,272.258064516129,282.2970430107527
2016,11,191.0263888888889,230.14166666666668
2016,10,197.58681022880216,213.50605652759086
2016,9,114.625,141.72083333333333
2016,8,113.47983870967742,106.98521505376344
2016,7,73.41129032258064,73.78763440860214
2016,6,67.53472222222223,67.04583333333333
2016,5,79.72043010752688,78.37903225806451
2016,4,141.81805555555556,122.83888888888889
2016,3,96.36021505376344,102.77016129032258
2016,2,198.9382183908046,190.8477011494253
2016,1,156.18145161290323,201.6008064516129
2015,12,297.10349462365593,266.3252688172043
2015,11,183.38611111111112,216.85833333333332
2015,10,279.9434724091521,240.5720053835801
2015,9,185.98888888888888,167.39166666666668
2015,8,83.8239247311828,95.18279569892474
2015,7,83.72311827956989,72.86424731182795
